player_id,player_name,position,country,date_of_birth,height
p1,Alan Shearer,Forward,England,8/13/1970,183
p100059,Alberto Moreno,Defender,Spain,7/5/1992,171
p100180,Danilo,Defender,Brazil,7/15/1991,184
p10022,Cory Gibbs,Defender,United States,1/14/1980,188
p10039,Abdeslam Ouaddou,Defender,Morocco,11/1/1978,193
p100412,André Carrillo,Midfielder,Peru,6/14/1991,182
p100534,Paulinho,Midfielder,Brazil,7/25/1988,182
p10059,David Bellion,Forward,France,11/27/1982,181
p100649,Bernard,Forward,Brazil,9/8/1992,166
p10068,Szilard Nemeth,Forward,Slovakia,8/8/1977,180
p10072,Henrik Pedersen,Forward,Denmark,6/10/1975,188
p10089,Martin Petrov,Midfielder,Bulgaria,1/15/1979,180
p101061,Philip Heise,Defender,Germany,6/20/1991,184
p101065,Phil Ofosu-Ayeh,Defender,Ghana,9/15/1991,181
p10107,Rafael Schmitz,Defender,Brazil,0000-00-00,\N
p101105,Joe Bryan,Defender,England,9/17/1993,173
p101135,Cody Cropper,Goalkeeper,United States,2/16/1993,191
p10114,Fábio Rochemback,Midfielder,Brazil,12/10/1981,183
p101148,Jamaal Lascelles,Defender,England,11/11/1993,188
p101178,James Ward-Prowse,Midfielder,England,11/1/1994,173
p101179,Lloyd Isgrove,Midfielder,Wales,1/12/1993,178
p101180,Sam Hoskins,Forward,England,2/4/1993,173
p101183,Corby Moore,Midfielder,England,11/21/1993,173
p101184,Calum Chambers,Defender,England,1/20/1995,182
p101188,Lucas Digne,Defender,France,7/20/1993,178
p10135,Tomasz Kuszczak,Goalkeeper,Poland,3/20/1982,191
p101394,Okay Yokuslu,Midfielder,Turkey,3/9/1994,190
p10143,Geovanni,Midfielder,Brazil,1/11/1980,168
p101489,Csaba Somogyi,Goalkeeper,Hungary,4/7/1985,190
p101537,Felipe Anderson,Midfielder,Brazil,4/15/1993,175
p10155,Chris Black,Midfielder,England,9/7/1982,183
p10156,Craig James,Defender,England,11/15/1982,183
p101582,Fred,Midfielder,Brazil,3/5/1993,169
p10159,Keith Graydon,Forward,England,2/10/1983,\N
p1016,Kevin Pressman,Goalkeeper,England,11/6/1967,185
p10161,Mark Rossiter,Midfielder,Ireland,5/27/1983,180
p101623,Cristian Ceballos,Midfielder,Spain,12/3/1992,173
p101642,Rhys Bennett,Defender,England,9/1/1991,191
p101668,Jamie Vardy,Forward,England,1/11/1987,179
p1017,Julian Joachim,Forward,England,9/20/1974,168
p1018,Lee Hughes,Forward,England,5/22/1976,178
p10187,David Noble,Midfielder,England,2/2/1982,183
p1019,Kevin Kilbane,Midfielder,Ireland,2/1/1977,183
p101982,Sam Johnstone,Goalkeeper,England,3/25/1993,193
p102046,Muamer Tankovic,Forward,Sweden,2/22/1995,179
p102052,Eirik Holmen Johansen,Goalkeeper,Norway,7/12/1992,201
p102053,Andrea Mancini,Midfielder,Italy,8/13/1992,179
p102057,Raúl Jiménez,Forward,Mexico,5/5/1991,190
p10216,Alberto Mendez,Midfielder,Germany,10/24/1974,180
p102163,Souleymane Coulibaly,Forward,Cote D`Ivoire,12/26/1994,172
p10231,Stevland Angus,Defender,England,9/16/1980,\N
p102366,Moritz Bauer,Defender,Austria,1/25/1992,181
p102380,Antonio Rüdiger,Defender,Germany,3/3/1993,190
p1024,Sean Flynn,Midfielder,England,3/13/1968,173
p10246,Terrell Forbes,Defender,England,8/17/1981,183
p1025,Matt Carbon,Defender,England,6/8/1975,188
p10250,Ciaran Toner,Midfielder,Northern Ireland,6/30/1981,185
p102548,Tiago Ilori,Defender,Portugal,2/26/1993,190
p102549,Adam Davies,Goalkeeper,Wales,7/17/1992,185
p1027,Richard Sneekes,Midfielder,Netherlands,10/30/1968,180
p10273,Graeme Sharp,Forward,Scotland,10/16/1960,185
p102738,Giannelli Imbula,Midfielder,DR Congo,9/12/1992,186
p10274,John Ebbrell,Midfielder,England,10/1/1969,178
p102747,Djibril Sidibé,Defender,France,7/29/1992,182
p10276,Barry Venison,Defender,England,8/16/1964,178
p10277,David Speedie,Forward,Scotland,2/20/1960,168
p1028,David Watson,Goalkeeper,England,11/10/1973,183
p102822,Wallace Oliveira,Defender,Brazil,5/1/1994,175
p102826,Benjamin Mendy,Defender,France,7/17/1994,185
p102884,Paulo Gazzaniga,Goalkeeper,Argentina,1/2/1992,196
p1029,Mickey Evans,,Ireland,1/1/1973,183
p102907,Mark Birighitti,Goalkeeper,Australia,4/17/1991,189
p102916,Matthew Fletcher,Forward,Australia,6/1/1992,189
p1030,Nico Vaesen,Goalkeeper,Belgium,9/28/1969,191
p103025,Riyad Mahrez,Forward,Algeria,2/21/1991,179
p103040,Karim Rekik,Defender,Netherlands,12/2/1994,186
p1031,Fabian De Freitas,Forward,Netherlands,7/28/1972,185
p103100,Jonathan Williams,Midfielder,Wales,10/9/1993,168
p103109,Sam Magri,Defender,Malta,3/30/1994,184
p103123,Sébastien Haller,Forward,Cote D`Ivoire,6/22/1994,190
p103124,Emiliano Sala,Forward,Argentina,10/31/1990,187
p103127,Molla Wagué,Defender,Mali,2/21/1991,191
p10318,Maarten Stekelenburg,Goalkeeper,Netherlands,9/22/1982,197
p103192,Kurt Zouma,Defender,France,10/27/1994,190
p1033,Nicky Eaden,Defender,England,12/12/1972,175
p103328,Tom Hitchcock,Forward,England,10/1/1992,178
p1034,Alan Miller,Goalkeeper,England,3/29/1970,191
p10343,José Antonio Reyes,Midfielder,Spain,9/1/1983,176
p10348,Junichi Inamoto,Midfielder,Japan,9/18/1979,181
p1035,Jamie Vincent,Defender,England,6/18/1975,178
p103527,Diego Poyet,Midfielder,Uruguay,4/8/1995,180
p10356,Guy Demel,Defender,Cote D`Ivoire,6/13/1981,188
p10359,Neil Barrett,Midfielder,England,12/24/1981,178
p1036,Craig Armstrong,Defender,England,5/23/1975,180
p10366,Erik Edman,Defender,Sweden,11/11/1978,179
p10367,Hatem Trabelsi,Defender,Tunisia,1/25/1977,179
p103697,Ryan Williams,Midfielder,Australia,10/28/1993,173
p10370,Mamady Sidibe,Forward,Mali,12/18/1979,193
p10378,Simon Ramsden,Defender,England,12/17/1981,183
p1038,Matty Appleby,Midfielder,England,4/16/1972,178
p1039,Chris Lucketti,Defender,England,9/28/1971,183
p103903,Adam Henley,Defender,Wales,6/14/1994,178
p103912,Jordon Ibe,Midfielder,England,12/8/1995,176
p103914,Charlie Taylor,Defender,England,9/18/1993,176
p103917,Joe Cracknell,Goalkeeper,England,9/28/1994,183
p103953,Suso,Midfielder,Spain,11/19/1993,177
p103955,Raheem Sterling,Forward,England,12/8/1994,170
p104047,Pelly-Ruddock Mpanzu,Midfielder,DR Congo,3/22/1994,175
p104073,Joe Ralls,Midfielder,England,10/12/1993,183
p104074,Adedeji Oshilaja,Defender,England,3/2/1993,181
p10425,Florent Malouda,Midfielder,France,6/13/1980,184
p1043,Giorgos Donis,Midfielder,Greece,10/22/1969,183
p10440,Bernt Haas,Defender,Switzerland,4/8/1978,185
p10445,Frédéric Piquionne,Forward,France,12/8/1978,188
